500 250000
325 49 964
137 415 258
264 397 568
79 261 370
316 71 9
274 219 281
85 103 522
121 479 170
164 359 878
418 292 339
223 289 519
463 257 609
481 99 22
204 232 714
348 187 611
404 198 749
457 206 794
357 267 959
321 456 658
45 428 274
66 461 13
187 495 859
434 168 988
439 245 176
375 221 768
443 79 758
119 249 447
117 125 875
309 129 688
349 336 653
436 459 627
66 337 873
43 176 217
437 20 604
426 332 28
359 10 406
399 460 21
174 221 147
92 342 67
243 485 587
418 288 277
292 151 333
8 268 104
253 358 881
248 322 186
94 333 367
129 379 846
470 252 718
338 452 449
121 336 42
14 420 496
363 90 625
110 326 427
8 475 176
159 272 480
119 374 293
140 291 482
376 349 167
485 140 227
326 377 470
415 45 148
389 453 181
402 7 179
465 55 672
186 80 378
94 133 657
205 453 738
384 459 78
313 351 753
288 341 147
355 185 323
283 135 808
49 390 606
288 379 448
344 69 33
493 462 513
271 296 754
62 181 775
204 387 792
365 307 920
275 13 906
287 367 535
177 414 426
26 425 59
344 8 408
5 182 769
453 350 46
185 177 462
285 299 779
143 35 638
100 419 967
304 327 308
375 237 468
223 348 260
323 227 709
287 389 972
28 438 199
309 403 47
232 466 153
141 172 277
336 61 132
489 54 704
157 335 616
414 146 801
160 35 971
182 250 780
486 22 49
488 222 574
467 89 257
202 320 121
467 324 834
54 493 844
417 492 397
167 273 862
422 95 979
308 451 467
36 111 210
427 326 165
5 166 296
350 48 223
247 328 410
390 186 392
283 419 832
178 352 317
76 181 796
22 76 212
354 278 43
390 441 939
207 454 346
103 349 187
127 466 19
498 494 264
177 305 215
496 17 636
397 343 81
162 435 534
407 395 741
395 36 223
380 307 4
214 414 63
341 440 955
313 91 510
158 375 239
372 477 574
352 444 351
311 374 687
416 16 486
498 323 116
293 285 750
270 165 993
71 493 718
108 284 363
376 481 70
115 432 188
406 309 57
266 437 181
156 98 178
392 97 182
339 486 587
287 333 4
158 94 985
337 87 875
33 476 551
164 285 514
98 402 76
493 484 265
357 198 60
282 314 105
22 178 545
244 57 952
239 330 419
468 346 716
187 86 883
201 221 632
44 400 753
14 181 244
38 346 201
237 196 144
330 432 688
301 137 664
149 223 950
21 10 195
235 81 895
195 275 651
383 257 80
492 414 749
182 231 759
456 352 430
76 48 954
423 42 377
360 159 454
194 135 928
196 0 381
46 116 347
89 335 107
224 102 416
248 482 465
378 350 904
295 201 404
112 50 748
437 173 58
408 344 661
428 451 783
485 105 381
108 146 862
180 100 52
434 32 119
458 149 941
490 40 322
36 91 928
86 121 169
421 109 264
346 46 667
196 423 887
490 166 197
400 428 877
324 201 442
366 272 10
79 308 179
450 41 271
129 239 483
81 139 408
373 199 7
484 464 468
332 74 128
130 334 133
33 287 327
316 339 689
361 141 594
429 14 436
443 194 279
362 32 132
281 114 766
300 314 372
444 337 229
170 60 888
198 385 510
402 113 835
428 219 550
42 37 977
243 64 954
21 110 780
66 321 121
399 469 184
263 408 193
325 319 715
379 220 845
398 472 967
7 22 449
415 360 821
477 223 858
266 231 570
479 453 507
312 275 849
82 126 307
237 4 816
266 304 886
105 195 282
444 479 473
289 118 437
7 235 722
216 361 489
435 222 673
491 444 184
