50 2500
42 32 97
25 15 30
5 29 33
1 42 99
29 14 37
25 40 87
8 20 3
21 23 6
48 3 20
22 9 85
42 0 11
48 26 3
9 36 84
37 17 41
0 35 10
49 36 8
38 18 82
7 41 16
20 13 14
35 48 71
41 2 22
45 32 15
14 21 10
30 45 51
7 12 41
11 7 10
18 35 37
23 37 36
8 46 72
29 14 37
46 47 93
21 31 72
37 9 41
8 19 77
21 33 9
37 3 78
15 16 90
16 25 42
6 11 86
30 43 96
22 42 0
7 16 90
14 0 9
40 31 68
37 3 90
20 21 3
19 27 91
35 45 16
38 28 12
8 14 33
30 9 50
44 42 77
0 22 88
30 34 83
42 0 8
19 4 8
43 9 3
18 37 82
35 46 15
20 29 21
16 39 30
17 36 60
28 31 68
2 40 38
46 39 24
7 20 39
0 49 2
49 23 2
17 24 51
19 5 22
16 49 97
3 44 53
29 30 16
44 38 45
24 4 13
25 4 36
16 27 48
43 13 15
22 42 31
26 14 79
32 25 28
11 15 9
39 27 89
26 9 40
21 32 32
46 42 34
41 44 26
29 46 22
35 9 94
15 28 86
21 15 46
41 46 23
27 5 29
9 25 90
23 6 72
40 17 70
46 39 93
16 41 54
11 5 85
13 25 15
29 7 22
38 11 17
38 18 65
44 24 97
19 12 38
46 28 73
34 5 66
4 23 98
39 34 89
39 43 63
38 42 31
7 23 41
14 32 70
23 20 81
45 36 56
18 19 98
26 4 58
36 41 89
25 42 83
44 47 97
47 41 72
17 30 43
25 29 93
32 20 75
48 35 63
15 4 31
32 12 42
18 10 22
28 8 39
30 21 77
35 1 6
1 17 26
45 27 26
49 20 37
30 10 89
40 30 92
2 22 24
28 0 43
42 39 13
2 41 98
39 35 42
5 16 75
16 44 66
10 25 18
14 10 75
15 43 90
38 0 43
36 21 7
9 40 79
0 34 39
44 43 41
35 36 63
0 25 34
19 14 56
49 11 81
15 32 87
28 39 44
33 2 85
44 43 7
14 18 52
33 17 69
14 41 64
9 47 95
28 9 44
47 41 72
23 16 3
39 11 74
23 42 28
33 16 80
17 29 68
30 18 2
17 43 7
39 35 62
1 26 95
47 36 42
44 0 38
1 44 18
19 15 87
17 33 84
45 17 80
34 26 29
33 48 10
7 37 89
33 49 92
2 4 57
9 18 37
48 46 88
28 41 34
26 44 97
8 35 72
43 6 13
43 28 37
26 38 21
44 6 91
7 27 54
25 36 67
8 12 7
30 23 49
21 34 30
0 9 52
45 13 59
42 9 73
26 32 66
47 5 47
21 11 64
27 31 1
40 32 46
49 23 35
32 2 45
15 43 41
28 36 8
37 1 13
7 49 71
43 40 15
3 37 46
32 14 45
46 33 55
30 46 31
0 36 95
5 38 79
8 9 53
36 9 68
46 10 67
36 34 63
7 21 25
44 0 60
7 44 50
39 3 99
1 49 89
5 17 86
10 26 22
28 47 13
17 21 52
15 26 73
21 41 22
34 11 13
3 28 79
20 41 45
2 22 48
36 2 4
33 44 22
10 30 11
10 28 98
25 49 8
27 25 2
47 17 77
4 34 92
16 40 80
16 5 51
14 30 32
16 24 70
31 11 22
0 33 18
21 35 15
45 27 42
24 37 55
7 42 37
23 7 46
47 48 72
18 22 58
39 34 55
1 4 71
31 47 0
46 26 87
14 25 90
9 26 70
32 12 90
16 2 41
35 41 87
32 45 0
3 5 62
33 27 28
27 38 71
49 11 41
3 22 67
14 48 99
44 9 49
27 22 13
38 27 29
46 40 56
4 7 80
43 34 2
41 14 76
24 27 51
17 40 63
7 42 61
12 35 64
4 40 28
13 11 86
33 42 64
11 32 59
12 42 70
36 42 55
42 44 14
12 29 89
6 18 83
40 29 43
39 22 1
38 40 70
19 0 64
30 21 47
11 33 9
42 18 89
45 0 30
17 27 18
1 20 85
37 49 89
31 26 87
47 1 1
8 25 87
49 2 25
40 26 93
49 36 59
20 40 70
13 8 31
13 8 62
37 48 98
34 9 97
28 46 92
13 14 64
32 42 85
7 43 80
26 11 88
21 4 56
16 22 27
21 7 93
43 44 10
0 29 43
24 8 32
3 18 43
48 20 45
0 29 78
30 1 18
9 13 37
13 18 45
31 32 18
4 43 86
45 6 0
15 9 57
1 6 95
3 16 88
26 44 38
3 41 89
46 27 15
2 29 0
30 28 56
40 7 44
26 4 93
40 31 21
23 39 33
9 4 47
25 1 14
40 38 17
35 37 44
22 17 10
39 22 47
41 2 86
9 49 55
33 8 33
24 14 12
40 27 19
12 6 36
45 44 84
32 33 26
42 14 7
24 44 68
18 24 94
26 25 94
41 21 47
22 9 52
6 17 17
10 6 13
3 30 45
