20 1869
2 6 46
0 10 48
5 17 71
1 11 19
5 18 14
6 3 69
13 5 12
14 5 44
4 13 88
9 16 80
18 3 46
4 8 64
0 18 80
7 4 56
6 7 52
7 17 14
8 13 63
15 16 4
11 0 55
15 9 7
4 17 0
12 16 30
0 9 13
14 15 90
9 3 63
10 16 76
4 15 35
4 18 92
9 17 72
3 2 92
4 18 87
4 8 55
7 15 25
13 19 33
13 6 30
4 2 70
7 1 14
16 13 69
18 11 49
11 17 82
10 1 97
7 18 20
13 18 55
0 2 26
3 19 0
16 3 23
17 8 23
7 17 2
1 13 37
17 8 67
6 17 7
0 2 23
4 15 22
14 13 90
1 6 85
19 18 31
13 1 23
13 14 71
4 6 18
8 3 33
19 8 52
11 18 52
2 0 46
3 9 44
11 13 50
14 13 16
17 6 24
14 2 22
9 12 20
18 12 29
18 6 71
7 18 45
9 16 70
1 6 2
5 4 70
18 10 22
7 1 50
18 11 9
1 17 50
14 19 44
18 12 11
6 14 61
1 11 94
11 10 0
19 10 19
15 18 89
0 17 49
9 6 42
2 8 15
19 11 37
15 0 85
11 0 22
6 3 56
2 15 65
6 12 19
19 2 10
16 8 52
13 12 9
0 10 82
9 19 12
13 8 82
14 0 25
2 4 12
17 5 90
2 9 30
13 7 38
11 9 27
5 6 78
6 3 11
18 11 7
14 4 84
1 10 28
5 9 18
9 13 41
10 18 50
4 16 95
5 11 74
2 6 69
12 0 3
7 14 23
13 12 24
10 15 18
0 17 71
0 12 0
15 19 90
3 6 75
14 3 82
17 14 78
19 8 99
9 18 35
10 11 53
14 11 75
9 10 65
3 0 57
16 8 85
5 15 1
15 5 61
8 13 94
13 11 46
5 2 24
3 17 50
12 9 51
5 3 51
2 1 33
6 7 36
7 19 47
11 8 88
16 18 69
15 17 40
9 1 32
0 5 4
8 4 41
15 11 40
19 4 81
5 7 23
5 19 12
1 0 45
0 13 21
10 15 37
0 15 61
8 11 59
17 4 77
18 15 99
5 7 15
4 3 18
11 3 62
18 0 17
14 12 76
17 19 57
12 17 95
0 2 98
18 2 38
1 16 16
0 1 86
6 3 51
1 14 44
0 13 65
4 5 7
1 10 27
1 15 19
5 1 64
17 16 37
17 12 17
5 19 70
3 19 32
3 2 63
8 4 38
0 10 22
11 17 90
4 3 59
4 15 44
4 12 94
0 8 54
0 7 26
14 18 45
19 3 75
16 5 98
15 3 11
10 4 81
17 7 95
10 8 48
3 2 48
14 18 81
7 0 15
11 14 88
14 9 66
11 1 14
10 8 14
11 19 6
18 15 91
5 7 89
19 1 52
13 4 37
12 5 36
14 19 80
8 12 42
11 8 79
0 13 93
8 17 98
8 2 37
9 4 1
11 8 25
6 12 79
9 7 69
1 4 73
19 7 72
12 11 33
3 4 77
7 6 79
15 10 7
15 3 19
2 12 94
5 14 95
8 5 16
12 5 45
12 1 33
12 17 73
10 5 78
18 4 71
12 13 75
16 12 27
0 10 56
6 3 42
1 18 65
0 18 42
10 14 66
19 9 38
15 8 72
6 9 14
18 19 52
19 1 30
11 9 12
14 0 79
10 0 86
10 0 10
11 10 68
9 4 42
16 17 52
17 15 10
6 3 66
9 8 93
11 19 91
