800 319681
330 254 128
330 174 887
103 682 489
162 53 786
278 249 256
65 366 348
630 486 155
61 4 171
571 545 314
305 76 287
11 798 605
162 236 324
2 640 47
210 24 725
444 164 554
681 460 664
221 654 464
27 266 217
223 688 875
341 665 687
410 449 955
291 119 292
132 584 219
511 434 560
257 661 748
540 751 393
340 391 957
789 747 226
675 18 618
338 45 491
180 586 51
347 279 73
452 219 846
479 274 107
107 612 713
746 722 673
96 286 617
25 485 941
782 28 41
750 200 371
360 756 409
145 624 106
86 508 447
614 140 871
40 236 494
692 64 716
258 305 468
179 517 698
723 727 86
696 655 602
122 172 631
215 669 780
154 703 906
158 98 617
344 556 585
738 757 39
590 161 286
125 302 988
142 654 781
685 792 859
381 740 691
662 723 961
152 282 875
545 528 844
788 245 581
349 24 593
485 469 816
455 201 996
476 551 645
1 100 246
28 102 825
379 467 390
552 740 993
485 226 166
21 5 134
165 565 148
631 322 722
3 534 786
424 771 967
665 298 368
248 490 15
245 194 184
52 269 489
588 469 363
395 311 787
154 442 280
746 142 422
438 736 883
79 187 88
317 394 105
143 115 808
518 125 50
167 197 742
263 397 676
704 226 899
177 467 390
354 640 821
688 115 86
408 245 513
33 559 204
8 684 986
109 698 225
117 752 308
614 782 970
444 756 692
385 13 382
380 678 288
268 677 6
2 619 945
39 46 413
210 159 339
297 335 719
432 567 803
600 25 581
349 447 4
124 536 387
326 315 700
641 329 352
519 473 913
11 65 980
158 427 736
22 256 116
565 79 783
203 623 874
678 311 859
672 87 276
535 275 626
510 314 786
678 652 686
718 513 216
249 366 168
311 55 939
348 506 739
763 362 321
0 690 809
240 535 444
102 299 849
789 25 856
379 515 504
89 407 649
206 541 593
415 396 727
794 338 514
133 632 2
487 772 266
760 280 890
17 549 320
244 648 723
78 727 653
496 126 628
592 682 21
132 8 273
461 55 714
558 480 998
340 734 984
568 95 760
69 514 777
167 394 19
486 241 870
251 603 193
186 606 980
110 373 48
660 374 116
653 683 519
629 420 335
549 99 232
442 480 21
213 294 713
794 460 652
566 114 360
317 405 910
785 45 527
216 480 420
457 788 428
339 256 449
763 179 15
256 483 77
107 732 302
557 462 426
200 619 882
87 211 915
421 316 75
391 44 105
753 282 514
514 607 612
687 610 461
72 567 508
424 492 175
615 383 998
515 789 331
265 161 892
545 526 323
318 17 101
274 508 329
747 50 820
749 561 368
711 29 457
694 72 510
255 658 501
785 779 353
344 156 912
757 664 257
743 593 98
773 175 979
477 689 539
378 134 253
739 561 243
514 758 778
214 618 357
610 638 347
77 51 596
736 564 660
361 637 325
664 338 653
295 766 713
481 676 391
307 324 1
700 320 989
397 689 405
326 299 736
723 515 464
148 113 378
603 464 346
390 747 265
566 672 331
80 794 291
776 13 118
245 567 256
557 4 855
28 695 388
254 440 329
